Tue Jul 17 2018 17:13:29 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: ❄Sxcion❄#3424: WTF <@!161774631303249921>
Tue Jul 17 2018 17:13:30 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: ❄Sxcion❄#3424: gg
Tue Jul 17 2018 17:13:43 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Willa#1866: ez
Tue Jul 17 2018 17:13:50 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: ❄Sxcion❄#3424: ?
Tue Jul 17 2018 17:13:57 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: ❄Sxcion❄#3424: i was just expressing my feelings
Tue Jul 17 2018 17:14:14 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:14:23 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:14:25 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: YES
Tue Jul 17 2018 17:14:25 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: IT WORKS
Tue Jul 17 2018 17:14:27 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: WOOHOOOO
Tue Jul 17 2018 17:14:28 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:14:31 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:14:36 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.help
Tue Jul 17 2018 17:14:55 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: ❄Sxcion❄#3424: 6 months waiting at a red light gg
Tue Jul 17 2018 17:15:31 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: now got
Tue Jul 17 2018 17:15:32 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: 200 funfacts
Tue Jul 17 2018 17:15:32 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: WOOHOO
Tue Jul 17 2018 17:16:28 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: ❄Sxcion❄#3424: where u get all of them from
Tue Jul 17 2018 17:16:32 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: idk some random list
Tue Jul 17 2018 17:16:40 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: there was like 4000
Tue Jul 17 2018 17:16:42 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: but idw so many
Tue Jul 17 2018 17:16:43 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: lul
